Geographic Area,Geographic Name,Gender,Age,Year,Time Period,Time Period Dates,Rate of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Rate,Percent of Pregnant Women with OUD Diagnosis Receiving MAT,Type of Percent,Number of Women with a Delivery and OUD Diagnosis Receiving MAT,Number of Women with a Delivery and OUD Diagnosis Receiving MAT notes,Number of Women with a Delivery and OUD Receiving MAT Description,Number of Women with a Delivery and OUD Diagnosis,Number of Women with a Delivery and OUD Diagnosis notes,Number of Women with a Delivery and OUD Description,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude,Georeferenced Column
County,Monroe County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,45,45,42,089,56,"(41.0609178653, -75.3408360302)"
County,Elk County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,24,24,42,047,29,"(41.4281941606, -78.6494771322)"
State,Commonwealth,Female,30 to 34 years,2016,2016 Annual,1/1/2016-12/31/2016,580.73,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,58.07,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,446,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,768,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Washington County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,551.72,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,55.17,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,16,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,29,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,63,63,42,125,52,"(40.1910966345, -80.2518008276)"
County,Susquehanna County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,58,58,42,115,44,"(41.8205685982, -75.8025030296)"
County,Cambria County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,548.39,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,54.84,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,34,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,62,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,11,11,42,021,2,"(40.4912749067, -78.7189417385)"
County,Forest County,Female,12 to 55 years,2017,2017 Q2,4/1/2017-6/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,27,27,42,053,32,"(41.5135787577, -79.2378099483)"
County,Luzerne County,Female,12 to 55 years,2016,2016 Q1,1/1/2016-3/31/2016,750,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,75,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,15,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,20,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,40,40,42,079,14,"(41.1783643884, -75.991996098)"
County,Clinton County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,18,18,42,035,9,"(41.2328627374, -77.6428376046)"
State,Commonwealth,Female,30 to 34 years,2016,2016 Q4,10/1/2016-12/31/2016,635.36,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,63.54,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,115,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,181,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Clinton County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,18,18,42,035,9,"(41.2328627374, -77.6428376046)"
County,Allegheny County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,734.69,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,73.47,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,144,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,196,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,2,02,42,003,40,"(40.4673554298, -79.9861984282)"
County,Jefferson County,Female,12 to 55 years,2016,2016 Annual,1/1/2016-12/31/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,33,33,42,065,20,"(41.1313909115, -79.0010181419)"
State,Commonwealth,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,572.78,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,57.28,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,425,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,742,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
State,Commonwealth,Female,50 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
State,Commonwealth,Female,30 to 34 years,2016,2016 Q3,7/1/2016-9/30/2016,625,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,62.5,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,125,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,200,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,0,00,42,000,,"(39.346129, -75.167756)"
County,Montour County,Female,12 to 55 years,2017,2017 Q4,10/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,47,47,42,093,58,"(41.0280182438, -76.6647052668)"
County,Warren County,Female,12 to 55 years,2017,2017 Annual,1/1/2017-12/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,62,62,42,123,51,"(41.8167523652, -79.278581578)"
County,Somerset County,Female,12 to 55 years,2017,2017 Q3,7/1/2017-9/30/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,13,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,56,56,42,111,66,"(39.9714629901, -79.0310020611)"
County,Elk County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,24,24,42,047,29,"(41.4281941606, -78.6494771322)"
County,Cameron County,Female,12 to 55 years,2017,2017 Q1,1/1/2017-3/31/2017,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,12,12,42,023,3,"(41.4388026531, -78.2091693241)"
County,Bucks County,Female,12 to 55 years,2016,2016 Q3,7/1/2016-9/30/2016,571.43,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,57.14,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,20,,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,35,,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,9,09,42,017,35,"(40.335011331, -75.1129124111)"
County,Forest County,Female,12 to 55 years,2016,2016 Q2,4/1/2016-6/30/2016,,Rate of women receiving MAT for OUD per 1000 women with OUD diagnoses and deliveries,,Percent of women with OUD diagnoses and deliveries receiving MAT for OUD,,Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid,,Not displayed when total number of deliveries is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,27,27,42,053,32,"(41.5135787577, -79.2378099483)"
